user_id,signup_date,channel,region
1,2025-09-24 15:29:10.767322,paid_search,Middle East
2,2025-08-09 19:42:10.767322,social,Europe
3,2025-07-23 11:34:10.767322,organic,North America
4,2025-09-30 12:25:10.767322,organic,Latin America
5,2025-09-12 15:05:10.767322,social,Asia Pacific
6,2025-08-28 13:29:10.767322,organic,Middle East
7,2025-07-16 18:42:10.767322,referral,North America
8,2025-09-08 07:29:10.767322,organic,North America
9,2025-09-14 19:13:10.767322,paid_search,Europe
10,2025-09-27 11:02:10.767322,paid_search,North America
11,2025-08-27 19:56:10.767322,social,North America
12,2025-09-18 21:19:10.767322,organic,North America
13,2025-07-05 18:12:10.767322,paid_search,Asia Pacific
14,2025-08-28 22:45:10.767322,organic,Europe
15,2025-07-24 19:16:10.767322,social,North America
16,2025-08-17 15:33:10.767322,social,North America
17,2025-08-22 15:50:10.767322,organic,Latin America
18,2025-08-19 07:44:10.767322,direct,Asia Pacific
19,2025-07-11 11:57:10.767322,paid_search,North America
20,2025-09-11 16:27:10.767322,social,Europe
21,2025-08-22 15:03:10.767322,organic,Europe
22,2025-08-12 09:07:10.767322,organic,Latin America
23,2025-08-21 06:40:10.767322,organic,Asia Pacific
24,2025-10-03 14:30:10.767322,paid_search,Europe
25,2025-09-27 20:17:10.767322,paid_search,North America
26,2025-08-11 15:22:10.767322,direct,Asia Pacific
27,2025-08-03 15:52:10.767322,email,Latin America
28,2025-08-10 03:08:10.767322,social,Latin America
29,2025-08-20 17:51:10.767322,organic,North America
30,2025-08-19 19:10:10.767322,organic,North America
31,2025-08-09 11:27:10.767322,paid_search,North America
32,2025-10-01 08:32:10.767322,referral,North America
33,2025-09-21 08:38:10.767322,organic,Europe
34,2025-09-12 11:43:10.767322,organic,Asia Pacific
35,2025-07-26 02:52:10.767322,organic,Middle East
36,2025-08-09 09:12:10.767322,referral,North America
37,2025-09-14 20:11:10.767322,organic,Asia Pacific
38,2025-08-15 13:42:10.767322,social,Asia Pacific
39,2025-07-09 22:53:10.767322,referral,North America
40,2025-08-08 14:41:10.767322,paid_search,North America
41,2025-09-16 10:48:10.767322,email,Europe
42,2025-08-02 08:59:10.767322,paid_search,North America
43,2025-08-25 08:57:10.767322,paid_search,North America
44,2025-07-23 20:36:10.767322,social,Europe
45,2025-08-06 12:03:10.767322,email,Europe
46,2025-09-11 21:15:10.767322,organic,Asia Pacific
47,2025-09-18 02:25:10.767322,referral,Europe
48,2025-09-18 00:51:10.767322,referral,Europe
49,2025-08-02 17:00:10.767322,paid_search,Europe
50,2025-09-06 15:16:10.767322,organic,North America
51,2025-07-11 15:37:10.767322,organic,Europe
52,2025-09-23 18:18:10.767322,paid_search,Europe
53,2025-10-01 02:06:10.767322,email,North America
54,2025-07-14 00:52:10.767322,paid_search,Asia Pacific
55,2025-09-20 03:01:10.767322,organic,North America
56,2025-08-07 06:23:10.767322,organic,North America
57,2025-07-07 10:14:10.767322,email,Asia Pacific
58,2025-07-20 10:24:10.767322,social,Latin America
59,2025-09-11 21:17:10.767322,referral,North America
60,2025-09-25 22:35:10.767322,email,Europe
61,2025-08-12 01:38:10.767322,referral,Latin America
62,2025-09-01 13:14:10.767322,paid_search,North America
63,2025-08-08 05:16:10.767322,organic,Europe
64,2025-07-28 05:26:10.767322,referral,Latin America
65,2025-07-19 08:47:10.767322,organic,Europe
66,2025-09-25 05:06:10.767322,paid_search,North America
67,2025-07-30 16:51:10.767322,organic,North America
68,2025-07-26 06:17:10.767322,email,North America
69,2025-09-10 13:06:10.767322,paid_search,Asia Pacific
70,2025-08-16 03:29:10.767322,paid_search,Middle East
71,2025-07-20 00:24:10.767322,direct,North America
72,2025-08-13 19:31:10.767322,paid_search,North America
73,2025-08-05 06:33:10.767322,organic,North America
74,2025-07-16 11:59:10.767322,social,Europe
75,2025-07-14 06:17:10.767322,organic,North America
76,2025-07-21 17:10:10.767322,email,North America
77,2025-09-04 05:38:10.767322,organic,Europe
78,2025-08-08 05:23:10.767322,direct,North America
79,2025-09-21 01:41:10.767322,social,Asia Pacific
80,2025-09-13 12:12:10.767322,organic,Asia Pacific
81,2025-07-31 10:47:10.767322,paid_search,Europe
82,2025-08-26 10:09:10.767322,social,Europe
83,2025-08-22 03:25:10.767322,organic,Asia Pacific
84,2025-09-10 02:35:10.767322,paid_search,North America
85,2025-08-05 19:32:10.767322,organic,Europe
86,2025-08-17 13:05:10.767322,social,North America
87,2025-09-13 20:05:10.767322,paid_search,North America
88,2025-08-02 12:32:10.767322,social,North America
89,2025-10-04 08:31:10.767322,social,North America
90,2025-08-03 15:25:10.767322,email,North America
91,2025-07-09 22:32:10.767322,paid_search,North America
92,2025-09-08 19:45:10.767322,email,Latin America
